Simulation Identification;PLPowerSimulation
Initial Battery;10.0
Sensor Cover Radius;90.0
Node Idle Energy Cost;1.0
CPU Processing Energy Cost;0.0
Communication Channel Type:eboracum.pathloss.LogDistanceChannel
Transmission Power;11.0
Receiver Sensivity;-137.0
Antenna Gain;2.15
Frequency;9.15E8Summary of Nodes
Class Name;Number of Instances
eboracum.wsn.network.node.SimpleWSNNode;9
Summary of Events
Class Name;Type;Number of Instances;
eboracum.wsn.network.node.PeriodicEvent;E8;9;

Results
Simulation Total Time;8
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.PeriodicEvent;E0_0;E0;5;0
eboracum.wsn.event.PeriodicEvent;E7_7;E7;5;0
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode2;0;10;4;1;4;8.000548
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode7;0;13;4;1;2;5
eboracum.wsn.event.PeriodicEvent;E1_1;E1;5;0
eboracum.wsn.event.PeriodicEvent;E6_6;E6;5;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode4;0;17;9;0;2;3.5052064
eboracum.wsn.event.PeriodicEvent;E5_5;E5;5;0
eboracum.wsn.event.PeriodicEvent;E8_8;E8;5;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode1;0;16;7;1;3;7.3298631
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode6;0;14;3;1;3;6
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode0;0;17;4;1;4;8.123288
eboracum.wsn.event.PeriodicEvent;E4_4;E4;5;0
eboracum.wsn.event.PeriodicEvent;E2_2;E2;5;0
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode5;0;15;3;1;3;6
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode3;0;9;10;1;1;3.2378094
eboracum.wsn.network.node.sensor.SimpleWSNNode;SimpleWSNNode8;0;7;3;1;3;6
eboracum.wsn.event.PeriodicEvent;E3_3;E3;5;0
Total Number of Sensed Events by the WSN;10
Number of Sensed Events by the WSN per Day
1;10
Calculated Communication Cover;1036.33
Calculated Path Loss;152.3
Path Loss Exponent n;4.0
PL(d0);50.0
